feature,importance
neighborhood_Mkinssia,3.992084858712374e-11
neighborhood_Najd,3.8711510894798104e-11
neighborhood_Dar Dbibagh,3.853749007979487e-11
city_Guercif,3.7568579028152e-11
city_Berkane,3.625000680472703e-11
neighborhood_Sidi Othmane,3.4307501607712174e-11
neighborhood_Zone industrielle,3.278509216047067e-11
city_Ain Harrouda,3.272885149918757e-11
neighborhood_Castilla,3.2122316743475267e-11
neighborhood_Quartier Aérodrome,3.201531449628067e-11
neighborhood_Kouilma,3.182277351131704e-11
neighborhood_Zemmouri,3.083279511785705e-11
neighborhood_Biranzarane,3.017389685883763e-11
neighborhood_Smaâla,3.016251017588522e-11
neighborhood_Riad 1,2.988332588266091e-11
neighborhood_Hay Moulay Rachid,2.8768044398994578e-11
neighborhood_Ihchach,2.812823247693792e-11
neighborhood_Riad Toulal,2.810628611772914e-11
city_Ben Guerir,2.7348875378515416e-11
neighborhood_Sidi Abdellah,2.678537759700358e-11
city_Sidi Allal El Bahraoui,2.6469150618834e-11
neighborhood_Hay El Andalous,2.5941782944852784e-11
neighborhood_Bouaakkaz,2.574292804321698e-11
neighborhood_Hay Targa,2.5393736355034663e-11
neighborhood_Mont fleuri,2.531078556259521e-11
city_Ait Melloul,2.5092038219015714e-11
neighborhood_Es Saada,2.438876929801683e-11
neighborhood_Al Irfane 2,2.3927189815846443e-11
neighborhood_Medina,2.388407829176173e-11
neighborhood_Abattoirs,2.3363241984328483e-11
city_Khemisset,2.2530555244817016e-11
neighborhood_Rachidia,2.118328655548318e-11
city_Ksar el-Kebir,2.071808378415864e-11
neighborhood_Bir Rami Industriel,2.030854667127783e-11
city_Al Hoceima,2.020256695171445e-11
neighborhood_Bab Al Bahar,1.9934328695022192e-11
neighborhood_Hay Al Falah,1.9662240395131038e-11
neighborhood_Tghat,1.9448879552470852e-11
neighborhood_El Bassatine,1.8641535434203774e-11
neighborhood_Fonciere,1.7435213007518215e-11
neighborhood_Branes 2,1.651690911154773e-11
neighborhood_Hay Karima,1.6298456271474417e-11
neighborhood_Ain Amiyer,1.6281490740401878e-11
neighborhood_Al Filline,1.549438768662726e-11
neighborhood_Oued Fès,1.5466205371841347e-11
city_Mirleft,1.5347522443227417e-11
city_Ain Attig,1.489271826774609e-11
city_Tiznit,1.4760181767569732e-11
neighborhood_Saada,1.4566936894319124e-11
neighborhood_Hay el Fath,1.4173981036261947e-11
neighborhood_Route de Sefrou,1.3868954173549262e-11
neighborhood_Msalla,1.3805636566257044e-11
city_Gueznaia,1.2697183398254191e-11
neighborhood_Ben Dibane,1.2416125109962634e-11
neighborhood_la Nouvelle Ville Ibn Battouta,1.2398949749367473e-11
neighborhood_Mediouna,1.2387039603903823e-11
neighborhood_Hay El Farah,1.1967748736536333e-11
neighborhood_Mghogha,1.150234524093579e-11
neighborhood_M'nar,1.1320546480592982e-11
neighborhood_Targa,1.1100629005136196e-11
city_Aquouass Briech,1.0357888652225256e-11
neighborhood_Hay Alqods,1.0266898564066675e-11
neighborhood_Azli,1.0215589824459757e-11
neighborhood_El Majd,1.0213391432503213e-11
